Name of the Organization,Service Requested,Remarks,Date Received,Designate,Filed by Registry for Action,Unnamed: 6,Received by Designate,Date Received by Designate,Correction Required,Corrections Done by Client,Date Corrections done by Client,Status,Date Completed,Authorization,Date Authorised,Signatory,Dispatch,Date Dispatched
Ammendment of the Constitution,Constitution received vide courier,07/08/2024,NULL,Filed,07-08-2024,Received,21-08-2024,NULL,21-08-2024,NULL,2024-10-23,Completed,2024-11-18,Authorised,2024-11-18,Monyoncho,NULL,NULL
Change/ Replacement of officials,NULL,07/08/2024,NULL,Filed,09-08-2024,Received,21-08-2024,NULL,21-08-2024,NULL,NULL,NULL,NULL,Authorised,2024-10-30,I.Sang,NULL,NULL
Recommendation for Bank Letter,NULL,07/08/2024,NULL,Filed,07/08/2024,Received,07/08/2024,NULL,NULL,NULL,NULL,Completed,2024-08-07,Authorised,2024-08-07,I.Sang,NULL,NULL
Recommendation for KRA Pin,NULL,07/08/2024,NULL,Filed,07/08/2024,Received,07/08/2024,NULL,NULL,NULL,NULL,Completed,2024-08-07,Authorised,2024-08-07,I.Sang,NULL,NULL
Certification of documents,Certified copy of constitution,07/08/2024,NULL,Filed,12/08/2024,Received,12/08/2024,NULL,NULL,NULL,NULL,Completed,2024-08-12,Authorised,2024-08-12,I.Sang,Dispatched,2024-08-16
-,NULL,07/08/2024,NULL,Filed,09/08/2024,Received,09/08/2024,NULL,NULL,NULL,NULL,Completed,2024-08-12,Authorised,2024-08-12,I.Sang,Dispatched,2024-08-15
Recommendation for Bank Letter,NULL,07/08/2024,NULL,Filed,07/08/2024,Received,07/08/2024,NULL,07-08-2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Recommendation for Bank Letter,NULL,07/08/2024,NULL,Filed,07/08/2024,Received,07/08/2024,NULL,07-08-2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Recommendation for Bank Letter,NULL,07/08/2024,NULL,Filed,09/08/2024,Received,09/08/2024,NULL,09-08-2024,NULL,NULL,Completed,2024-09-17,Authorised,2024-09-17,Monyoncho,NULL,NULL
File Search,File search for ; Path of sunshine foundation,07/08/2024,NULL,Filed,09-08-2024,Received,15-08-2024,NULL,NULL,NULL,NULL,Completed,2024-08-15,NULL,NULL,NULL,NULL,NULL
